participant_ID,setting,Avg Response Time Comm,Accuracy Comm,Avg Response Time sys,Accuracy sys,Avg Time Out (ms),Mean Deviation,HEP score
12345,5,20.46236,0.85714,1.16485,0.76471,1116.66667,0.03277,0.04114
12345,3,20.4284,0.83333,1.34678,0.76923,3010.0,0.03552,0.02209
12346,5,13.94269,1.0,1.26032,0.76471,806.66667,0.03084,0.00482
12346,4,19.00298,1.0,1.42718,0.76923,1675.0,0.0364,0.00491
12352,5,14.30876,1.0,1.02426,0.95652,480.0,0.02987,0.00099
12352,4,15.02721,1.0,0.99961,1.0,926.66667,0.02947,0.00152
12354,1,15.02,1.0,1.37393,0.85714,2316.66667,0.03593,0.01545
12354,4,30.0,0.5,1.44653,0.33333,2313.33333,0.0289,0.05283
12349,4,18.61304,1.0,1.82146,0.46154,5655.0,0.04989,0.04095
12349,2,30.0,0.0,1.84176,0.45455,7913.33333,0.05751,0.14316
12355,3,21.66619,0.85714,1.39807,0.65217,3250.0,0.0441,0.03584
12355,1,22.71258,0.75,1.31531,0.83333,3240.0,0.03043,0.01247
12348,2,24.47796,0.99725,1.60043,0.90909,5753.33333,0.04319,0.04265
12348,1,21.63735,1.0,1.86834,0.5,5833.33333,0.03425,0.01845
12353,5,18.3603,0.85714,1.14831,0.73913,1383.33333,0.03336,0.01476
12353,3,14.80679,1.0,1.08524,0.85714,973.33333,0.02926,0.00302
12351,5,14.66312,1.0,1.24981,1.0,130.0,0.02864,0.00085
12351,4,30.0,0.66667,1.46854,0.76923,1890.0,0.03672,0.00742
12350,5,30.0,0.57143,1.17863,0.64706,1343.33333,0.03263,0.10425
12350,2,15.36666,1.0,0.93739,1.0,526.66667,0.02593,0.00047
